# r C_mean D_mean P_mean C_sem D_sem P_sem
3.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.522222222222222143e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.544444444444444287e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.566666666666666874e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.588888888888889017e+00 3.259304999999999841e-02 9.674069499999999877e-01 0.000000000000000000e+00 5.456459774878618177e-03 5.456459774878614707e-03 0.000000000000000000e+00
3.611111111111111160e+00 2.685280250000000590e-01 7.314719750000001630e-01 0.000000000000000000e+00 4.984908816865870652e-03 4.984908816865866316e-03 0.000000000000000000e+00
3.633333333333333304e+00 3.778178500000000106e-01 6.221821500000001004e-01 0.000000000000000000e+00 2.109996898257883707e-03 2.109996898257882406e-03 0.000000000000000000e+00
3.655555555555555891e+00 4.312982249999999240e-01 5.687017749999999650e-01 0.000000000000000000e+00 2.648667945122556121e-03 2.648667945122557855e-03 0.000000000000000000e+00
3.677777777777778034e+00 4.690363750000001164e-01 5.309636250000000501e-01 0.000000000000000000e+00 2.491898519485589297e-03 2.491898519485591466e-03 0.000000000000000000e+00
3.700000000000000178e+00 4.921513500000000430e-01 5.078486499999999015e-01 0.000000000000000000e+00 1.139860001849257645e-03 1.139860001849257211e-03 0.000000000000000000e+00
